Detalhe Total de Eventos Lançados por Data

Número Processo	Classe	Evento Judicial	Data evento
5000077-55.2011.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Remetidos os Autos - Custas	06/02/2025 16:22:35
5000080-68.2015.8.21.0105/RS	MONITÓRIA	Conclusos para decisão/despacho	06/02/2025 16:00:23
5000081-48.2018.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Alterada a parte - exclusão	06/02/2025 18:23:27
5000081-48.2018.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Expedida/certificada a intimação eletrônica	06/02/2025 18:24:51
5000083-52.2017.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Remetidos os Autos - Remessa Externa	06/02/2025 18:36:15
5000091-63.2016.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Cumprimento de Suspensão ou Sobrestamento	06/02/2025 13:22:23
5000094-18.2016.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Conclusos para decisão/despacho	06/02/2025 13:41:43
5000097-17.2009.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Conclusos para decisão/despacho	06/02/2025 13:44:54
5000103-87.2010.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Conclusos para decisão/despacho	06/02/2025 16:03:44
5000109-41.2003.8.21.0105/RS	EXECUÇÃO DE TÍTULO JUDICIAL	Conclusos para decisão/despacho	06/02/2025 13:22:55
5000109-94.2010.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Ato ordinatório praticado	06/02/2025 18:41:05
5000109-94.2010.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Expedida/certificada a intimação eletrônica	06/02/2025 18:41:05
5000109-94.2010.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Expedida/certificada a intimação eletrônica	06/02/2025 18:41:05
5000124-97.2009.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Expedida/certificada a intimação eletrônica	06/02/2025 18:33:13
5000133-83.2014.8.21.0105/RS	EXECUÇÃO FISCAL	Transitado em Julgado	06/02/2025 13:10:58
5000133-83.2014.8.21.0105/RS	EXECUÇÃO FISCAL	Remetidos os Autos - Custas Matéria da Fazenda	06/02/2025 13:11:06
5000138-91.2003.8.21.0105/RS	CUMPRIMENTO DE SENTENÇA	Expedida/certificada a intimação eletrônica	06/02/2025 14:58:16
5000140-80.2011.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Conclusos para decisão/despacho	06/02/2025 15:56:05
5000152-21.2016.8.21.0105/RS	BUSCA E APREENSÃO EM ALIENAÇÃO FIDUCIÁRIA	Conclusos para decisão/despacho	06/02/2025 13:55:36
5000160-42.2009.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Conclusos para decisão/despacho	06/02/2025 13:31:09
5000169-76.2024.8.21.0105/RS	MONITÓRIA	Baixa Definitiva	06/02/2025 13:05:54
5000178-72.2023.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Conclusos para decisão/despacho	06/02/2025 15:38:08
5000182-51.2019.8.21.0105/RS	Carta Precatória Cível	Conclusos para decisão/despacho	06/02/2025 13:34:49
5000183-46.2013.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Expedida/certificada a intimação eletrônica	06/02/2025 15:25:16
5000186-98.2013.8.21.0105/RS	CUMPRIMENTO DE SENTENÇA	Conclusos para decisão/despacho	06/02/2025 16:08:29
5000189-67.2024.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Levantada a suspensão ou sobrestamento dos autos	06/02/2025 15:27:18
5000189-67.2024.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Conclusos para decisão/despacho	06/02/2025 15:27:24
5000193-56.2014.8.21.0105/RS	EXECUÇÃO FISCAL	Expedida/certificada a intimação eletrônica	06/02/2025 13:12:20
5000196-11.2014.8.21.0105/RS	CUMPRIMENTO DE SENTENÇA	Ato ordinatório praticado	06/02/2025 15:34:12
5000196-11.2014.8.21.0105/RS	CUMPRIMENTO DE SENTENÇA	Expedida/certificada a intimação eletrônica	06/02/2025 15:34:12
5000205-07.2013.8.21.0105/RS	CUMPRIMENTO DE SENTENÇA	Conclusos para julgamento	06/02/2025 15:26:45
5000208-59.2013.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Conclusos para decisão/despacho	06/02/2025 17:06:19
5000211-14.2013.8.21.0105/RS	EXECUÇÃO FISCAL	Expedida/certificada a intimação eletrônica	06/02/2025 13:12:55
5000212-04.2010.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Conclusos para decisão/despacho	06/02/2025 16:36:25
5000212-13.2024.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Expedida/certificada a intimação eletrônica	06/02/2025 17:08:20
5000218-35.2015.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Conclusos para decisão/despacho	06/02/2025 17:00:36
5000221-82.2018.8.21.0105/RS	MONITÓRIA	Expedida/certificada a intimação eletrônica	06/02/2025 16:00:51
5000221-92.2012.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Conclusos para decisão/despacho	06/02/2025 15:49:11
5000224-71.2017.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Expedida/certificada a intimação eletrônica	06/02/2025 13:21:55
5000229-35.2013.8.21.0105/RS	EXECUÇÃO FISCAL (UNIÃO)	Levantada a suspensão ou sobrestamento dos autos	06/02/2025 13:28:11
5000229-35.2013.8.21.0105/RS	EXECUÇÃO FISCAL (UNIÃO)	Processo Suspenso ou Sobrestado por decisão judicial - Parcelamento do Débito	06/02/2025 13:28:27
5000231-19.2024.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Ato ordinatório praticado	06/02/2025 15:22:31
5000231-19.2024.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Expedida/certificada a intimação eletrônica	06/02/2025 15:22:31
5000237-46.2012.8.21.0105/RS	MONITÓRIA	Expedida/certificada a intimação eletrônica	06/02/2025 15:47:51
5000244-72.2011.8.21.0105/RS	CUMPRIMENTO DE SENTENÇA	Conclusos para decisão/despacho	06/02/2025 16:07:29
5000245-57.2011.8.21.0105/RS	CUMPRIMENTO DE SENTENÇA	Baixa Definitiva	06/02/2025 18:34:12
5000263-73.2014.8.21.0105/RS	CUMPRIMENTO DE SENTENÇA	Expedida/certificada a intimação eletrônica	06/02/2025 13:47:29
5000264-14.2021.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Expedida/certificada a intimação eletrônica	06/02/2025 15:46:49
5000292-84.2018.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Conclusos para decisão/despacho	06/02/2025 15:52:12
5000316-54.2014.8.21.0105/RS	EMBARGOS DE TERCEIRO CÍVEL	Remetidos os Autos - Remessa Externa	06/02/2025 18:03:39
5000330-67.2016.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Baixa Definitiva	06/02/2025 13:53:51
5000358-30.2019.8.21.0105/RS	CUMPRIMENTO DE SENTENÇA	Conclusos para decisão/despacho	06/02/2025 16:14:24
5000364-42.2016.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Conclusos para decisão/despacho	06/02/2025 16:54:11
5000374-18.2018.8.21.0105/RS	EMBARGOS DE TERCEIRO CÍVEL	Remetidos os Autos - Custas - URGENTE	06/02/2025 16:47:04
5000374-18.2018.8.21.0105/RS	EMBARGOS DE TERCEIRO CÍVEL	Expedida/certificada a intimação eletrônica	06/02/2025 18:35:22
5000428-47.2019.8.21.0105/RS	CUMPRIMENTO DE SENTENÇA	Conclusos para decisão/despacho	06/02/2025 16:02:24
5000455-25.2022.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Expedida/certificada a intimação eletrônica	06/02/2025 18:28:07
5000466-30.2017.8.21.0105/RS	CUMPRIMENTO DE SENTENÇA	Conclusos para decisão/despacho	06/02/2025 14:41:29
5000532-05.2020.8.21.0105/RS	CUMPRIMENTO PROVISÓRIO DE SENTENÇA	Suspensão/Sobrestamento - Aguarda Decisão Tribunal Superior - Repercussão Geral (STF)	06/02/2025 15:00:44
5000604-89.2020.8.21.0105/RS	EMBARGOS À EXECUÇÃO	Expedida/certificada a intimação eletrônica	06/02/2025 16:48:01
5000604-89.2020.8.21.0105/RS	EMBARGOS À EXECUÇÃO	Expedida/certificada a intimação eletrônica	06/02/2025 16:48:01
5000604-89.2020.8.21.0105/RS	EMBARGOS À EXECUÇÃO	Expedida/certificada a intimação eletrônica	06/02/2025 16:48:01
5000672-97.2024.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Expedida/certificada a intimação eletrônica	06/02/2025 16:04:23
5000706-77.2021.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Expedida/certificada a intimação eletrônica - Contrarrazões	06/02/2025 16:57:57
5000711-65.2022.8.21.0105/RS	CUMPRIMENTO DE SENTENÇA	Expedida/certificada a intimação eletrônica	06/02/2025 13:51:50
5000711-65.2022.8.21.0105/RS	CUMPRIMENTO DE SENTENÇA	Expedida/certificada a intimação eletrônica	06/02/2025 13:51:50
5000715-68.2023.8.21.0105/RS	CUMPRIMENTO DE SENTENÇA	Ato ordinatório praticado	06/02/2025 16:21:30
5000715-68.2023.8.21.0105/RS	CUMPRIMENTO DE SENTENÇA	Expedida/certificada a intimação eletrônica	06/02/2025 16:21:30
5000822-49.2022.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Conclusos para decisão/despacho	06/02/2025 15:15:43
5000839-85.2022.8.21.0105/RS	CUMPRIMENTO DE SENTENÇA	Expedida/certificada a intimação eletrônica	06/02/2025 13:32:16
5000839-85.2022.8.21.0105/RS	CUMPRIMENTO DE SENTENÇA	Expedida/certificada a intimação eletrônica	06/02/2025 13:32:16
5000855-10.2020.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Conclusos para decisão/despacho	06/02/2025 18:13:32
5000858-91.2022.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Ato ordinatório praticado	06/02/2025 17:12:37
5000858-91.2022.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Expedida/certificada a intimação eletrônica	06/02/2025 17:12:37
5000864-64.2023.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Transitado em Julgado	06/02/2025 18:05:20
5000864-64.2023.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Remetidos os Autos - Custas Matéria da Fazenda	06/02/2025 18:05:26
5000865-83.2022.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Conclusos para decisão/despacho	06/02/2025 13:31:36
5000876-20.2019.8.21.0105/RS	CUMPRIMENTO DE SENTENÇA	Conclusos para decisão/despacho	06/02/2025 13:29:25
5000899-87.2024.8.21.0105/RS	Carta Precatória Cível	Baixa Definitiva	06/02/2025 13:41:04
5000915-41.2024.8.21.0105/RS	MONITÓRIA	Transitado em Julgado	06/02/2025 15:16:04
5000915-41.2024.8.21.0105/RS	MONITÓRIA	Remetidos os Autos - Custas	06/02/2025 15:16:09
5000915-41.2024.8.21.0105/RS	MONITÓRIA	Ato ordinatório praticado	06/02/2025 15:16:48
5000915-41.2024.8.21.0105/RS	MONITÓRIA	Expedida/certificada a intimação eletrônica	06/02/2025 15:16:48
5000934-47.2024.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Conclusos para decisão/despacho	06/02/2025 16:52:37
5000960-45.2024.8.21.0105/RS	EMBARGOS À EXECUÇÃO	Expedida/certificada a intimação eletrônica	06/02/2025 18:34:50
5000979-51.2024.8.21.0105/RS	ALVARÁ JUDICIAL - LEI 6858/80	Transitado em Julgado	06/02/2025 13:58:44
5000979-51.2024.8.21.0105/RS	ALVARÁ JUDICIAL - LEI 6858/80	Baixa Definitiva	06/02/2025 13:58:55
5001008-72.2022.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Remetidos os Autos	06/02/2025 15:07:49
5001019-33.2024.8.21.0105/RS	EMBARGOS À EXECUÇÃO	Conclusos para decisão/despacho	06/02/2025 18:15:48
5001020-18.2024.8.21.0105/RS	EMBARGOS À EXECUÇÃO	Conclusos para decisão/despacho	06/02/2025 17:03:04
5001021-03.2024.8.21.0105/RS	EMBARGOS À EXECUÇÃO	Conclusos para decisão/despacho	06/02/2025 17:02:43
5001037-54.2024.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Conclusos para decisão/despacho	06/02/2025 18:30:19
5001045-31.2024.8.21.0105/RS	MONITÓRIA	Conclusos para decisão/despacho	06/02/2025 15:27:55
5001094-72.2024.8.21.0105/RS	MANDADO DE SEGURANÇA	Levantada a suspensão ou sobrestamento dos autos	06/02/2025 13:13:55
5001190-58.2022.8.21.0105/RS	MONITÓRIA	Conclusos para decisão/despacho	06/02/2025 16:01:15
5001221-78.2022.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Conclusos para decisão/despacho	06/02/2025 18:42:20
5001330-63.2020.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Expedida/certificada a intimação eletrônica	06/02/2025 16:05:56
5001357-07.2024.8.21.0105/RS	EXECUÇÃO FISCAL	Conclusos para decisão/despacho	06/02/2025 13:16:04
5001423-55.2022.8.21.0105/RS	CUMPRIMENTO DE SENTENÇA	Conclusos para decisão/despacho	06/02/2025 15:14:58
5001430-13.2023.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Conclusos para decisão/despacho	06/02/2025 15:41:56
5001606-55.2024.8.21.0105/RS	CUMPRIMENTO DE SENTENÇA DE OBRIGAÇÃO DE PRESTAR ALIMENTOS	Baixa Definitiva	06/02/2025 13:04:16
5001608-25.2024.8.21.0105/RS	CUMPRIMENTO DE SENTENÇA DE OBRIGAÇÃO DE PRESTAR ALIMENTOS	Baixa Definitiva	06/02/2025 13:03:55
5001609-10.2024.8.21.0105/RS	EMBARGOS DE TERCEIRO CÍVEL	Conclusos para julgamento	06/02/2025 18:04:32
5001629-16.2011.8.21.0021/RS	CUMPRIMENTO DE SENTENÇA	Comunicação eletrônica recebida - baixado	06/02/2025 13:41:04
5001672-35.2024.8.21.0105/RS	CUMPRIMENTO DE SENTENÇA	Conclusos para decisão/despacho	06/02/2025 16:04:43
5001741-38.2022.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Conclusos para decisão/despacho	06/02/2025 18:18:07
5001746-60.2022.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Conclusos para decisão/despacho	06/02/2025 15:42:22
5001780-98.2023.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Juntada de certidão - traslado de peças para o processo	06/02/2025 14:50:15
5001780-98.2023.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Juntada de certidão - traslado de peças para o processo	06/02/2025 14:50:36
5001846-15.2022.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Conclusos para decisão/despacho	06/02/2025 18:26:04
5001917-80.2023.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Remetidos os Autos	06/02/2025 15:41:23
5001931-30.2024.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Transitado em Julgado	06/02/2025 13:32:44
5001931-30.2024.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Remetidos os Autos - Custas	06/02/2025 13:32:57
5001974-64.2024.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Expedida/certificada a intimação eletrônica	06/02/2025 18:10:24
5001974-64.2024.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Expedida/certificada a intimação eletrônica	06/02/2025 18:10:24
5001974-64.2024.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Ato ordinatório praticado	06/02/2025 18:11:23
5001974-64.2024.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Expedida/certificada a intimação eletrônica	06/02/2025 18:11:23
5001974-64.2024.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Expedida/certificada a intimação eletrônica	06/02/2025 18:11:23
5002012-13.2023.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Expedida/certificada a intimação eletrônica	06/02/2025 18:46:06
5002054-96.2022.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Expedida/certificada a intimação eletrônica	06/02/2025 18:01:17
5002054-96.2022.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Expedida/certificada a intimação eletrônica	06/02/2025 18:01:27
5002185-37.2023.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Conclusos para julgamento	06/02/2025 16:51:33
5002219-46.2022.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Conclusos para decisão/despacho	06/02/2025 16:17:12
5002244-88.2024.8.21.0105/RS	CUMPRIMENTO DE SENTENÇA	Conclusos para decisão/despacho	06/02/2025 14:55:22
5002309-83.2024.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Redistribuído por sorteio em razão de incompetência	06/02/2025 17:01:49
5002330-59.2024.8.21.0105/RS	CUMPRIMENTO DE SENTENÇA	Conclusos para julgamento	06/02/2025 14:45:14
5002332-63.2023.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Conclusos para decisão/despacho	06/02/2025 15:43:01
5002338-70.2023.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Conclusos para decisão/despacho	06/02/2025 15:43:20
5002380-85.2024.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Ato ordinatório praticado	06/02/2025 18:07:05
5002380-85.2024.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Expedida/certificada a intimação eletrônica	06/02/2025 18:07:05
5002380-85.2024.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Expedida/certificada a intimação eletrônica	06/02/2025 18:07:05
5002400-76.2024.8.21.0105/RS	MONITÓRIA	Transitado em Julgado	06/02/2025 14:47:22
5002400-76.2024.8.21.0105/RS	MONITÓRIA	Remetidos os Autos - Custas	06/02/2025 14:47:28
5002400-76.2024.8.21.0105/RS	MONITÓRIA	Ato ordinatório praticado	06/02/2025 14:47:59
5002400-76.2024.8.21.0105/RS	MONITÓRIA	Expedida/certificada a intimação eletrônica	06/02/2025 14:47:59
5002436-21.2024.8.21.0105/RS	Carta Precatória Cível	Baixa Definitiva	06/02/2025 15:44:09
5002436-89.2022.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Expedida/certificada a intimação eletrônica	06/02/2025 16:56:49
5002437-06.2024.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Expedida/certificada a intimação eletrônica	06/02/2025 17:07:26
5002437-06.2024.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Expedida/certificada a intimação eletrônica	06/02/2025 17:07:26
5002533-21.2024.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Ato ordinatório praticado	06/02/2025 16:50:39
5002533-21.2024.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Expedida/certificada a intimação eletrônica	06/02/2025 16:50:39
5002533-21.2024.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Expedida/certificada a intimação eletrônica	06/02/2025 16:50:40
5002606-90.2024.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Conclusos para decisão/despacho	06/02/2025 15:11:07
5002632-88.2024.8.21.0105/RS	CUMPRIMENTO DE SENTENÇA	Conclusos para decisão/despacho	06/02/2025 15:26:16
5002633-10.2023.8.21.0105/RS	EMBARGOS À EXECUÇÃO	Conclusos para decisão/despacho	06/02/2025 18:01:50
5002658-91.2021.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Remetidos os Autos - Remessa Externa	06/02/2025 18:14:36
5002673-55.2024.8.21.0105/RS	MONITÓRIA	Conclusos para decisão/despacho	06/02/2025 15:12:43
5002680-09.2022.8.21.0011/RS	CUMPRIMENTO PROVISÓRIO DE SENTENÇA	Ato ordinatório praticado	06/02/2025 16:44:32
5002680-09.2022.8.21.0011/RS	CUMPRIMENTO PROVISÓRIO DE SENTENÇA	Expedida/certificada a intimação eletrônica	06/02/2025 16:44:32
5002703-27.2023.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Expedida/certificada a intimação eletrônica	06/02/2025 18:37:29
5002812-75.2022.8.21.0105/RS	EXECUÇÃO FISCAL	Conclusos para decisão/despacho	06/02/2025 13:16:20
5002843-61.2023.8.21.0105/RS	MONITÓRIA	Ato ordinatório praticado	06/02/2025 14:05:54
5002843-61.2023.8.21.0105/RS	MONITÓRIA	Expedida/certificada a intimação eletrônica	06/02/2025 14:05:54
5002940-27.2024.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Expedida/certificada a intimação eletrônica	06/02/2025 18:27:51
5002945-49.2024.8.21.0105/RS	MONITÓRIA	Baixa Definitiva	06/02/2025 13:05:26
5002951-90.2023.8.21.0105/RS	EMBARGOS À EXECUÇÃO	Conclusos para decisão/despacho	06/02/2025 18:15:15
5002960-18.2024.8.21.0105/RS	MONITÓRIA	Conclusos para decisão/despacho	06/02/2025 13:20:26
5002983-95.2023.8.21.0105/RS	CUMPRIMENTO DE SENTENÇA	Conclusos para decisão/despacho	06/02/2025 13:53:08
5003030-69.2023.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Conclusos para decisão/despacho	06/02/2025 16:15:08
5003061-89.2023.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Expedida/certificada a intimação eletrônica	06/02/2025 16:16:37
5003084-98.2024.8.21.0105/RS	MONITÓRIA	Conclusos para decisão/despacho	06/02/2025 15:14:22
5003085-83.2024.8.21.0105/RS	MONITÓRIA	Conclusos para decisão/despacho	06/02/2025 15:09:42
5003102-56.2023.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Conclusos para decisão/despacho	06/02/2025 15:43:50
5003156-22.2023.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Expedida/certificada a intimação eletrônica	06/02/2025 16:05:29
5003213-06.2024.8.21.0105/RS	CUMPRIMENTO DE SENTENÇA	Conclusos para decisão/despacho	06/02/2025 15:52:34
5003313-58.2024.8.21.0105/RS	MONITÓRIA	Baixa Definitiva	06/02/2025 13:05:12
5003314-43.2024.8.21.0105/RS	MONITÓRIA	Conclusos para decisão/despacho	06/02/2025 15:13:25
5003316-13.2024.8.21.0105/RS	MONITÓRIA	Conclusos para decisão/despacho	06/02/2025 15:10:08
5003413-13.2024.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Conclusos para decisão/despacho	06/02/2025 16:54:33
5003594-48.2023.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Expedida/certificada a intimação eletrônica	06/02/2025 16:53:48
5003714-57.2024.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Expedida/certificada a intimação eletrônica	06/02/2025 16:55:43
5003737-03.2024.8.21.0105/RS	EMBARGOS À EXECUÇÃO	Juntada de certidão - traslado de peças do processo	06/02/2025 14:50:15
5003737-03.2024.8.21.0105/RS	EMBARGOS À EXECUÇÃO	Juntada de certidão - traslado de peças do processo	06/02/2025 14:50:36
